cost_function, budget_percentage, budget, algorithm, seed_count, seed_cost, baseline_influenced_nodes, baseline_influence_percentage, edge_removal_percentage, repetition, removed_edges, perturbed_influenced_nodes, perturbed_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Degree       ,              20.0,  17848, CGG      ,       1982,     17817,                      3467,            85.83807873235949 ,                     1.0,          0,           882,                       3413,            84.50111413716267  , -54            ,   98.44245745601384 ,               37
Random       ,               1.0,    220, CSG-f1   ,        146,       220,                       293,             7.254270859123546,                     1.0,          1,           882,                        295,             7.303788066353058 , 2              ,  100.6825938566553  ,                2
Random       ,               1.0,    220, CSG-f2   ,        140,       219,                       224,             5.545927209705372,                     1.0,          1,           882,                        224,             5.545927209705372 , 0              ,  100.0              ,                2
Random       ,               1.0,    220, CGG      ,        120,       220,                       588,            14.558058925476603,                     1.0,          1,           882,                        557,            13.790542213419164 , -31            ,   94.72789115646259 ,               13
Random       ,               2.0,    440, CSG-f1   ,        252,       440,                       409,            10.126268878435257,                     1.0,          1,           882,                        410,            10.151027482050011 , 1              ,  100.24449877750612 ,                3
Random       ,               2.0,    440, CSG-f2   ,        244,       438,                       366,             9.061648923000742,                     1.0,          1,           882,                        366,             9.061648923000742 , 0              ,  100.0              ,                2
Random       ,               2.0,    440, CGG      ,        285,       440,                       882,            21.837088388214905,                     1.0,          1,           882,                        856,            21.193364694231246 , -26            ,   97.05215419501134 ,               13
Random       ,               5.0,   1100, CSG-f1   ,        487,      1099,                      1354,            33.52314929437979 ,                     1.0,          1,           882,                       1351,            33.44887348353553  , -3             ,   99.77843426883308 ,               15
Random       ,               5.0,   1100, CSG-f2   ,        533,      1099,                      1553,            38.450111413716265,                     1.0,          1,           882,                       1552,            38.42535281010151  , -1             ,   99.93560849967804 ,               28
Random       ,               5.0,   1100, CGG      ,        619,      1099,                      2519,            62.366922505570685,                     1.0,          1,           882,                       2236,            55.3602376825947   , -283           ,   88.76538308852719 ,               55
Random       ,              10.0,   2201, CSG-f1   ,        869,      2196,                      2883,            71.37905422134192 ,                     1.0,          1,           882,                       2883,            71.37905422134192  , 0              ,  100.0              ,               14
Random       ,              10.0,   2201, CSG-f2   ,        979,      2201,                      3095,            76.62787818767022 ,                     1.0,          1,           882,                       3094,            76.60311958405546  , -1             ,   99.96768982229402 ,               18
Random       ,              10.0,   2201, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          1,           882,                       3711,            91.87917801435998  , -328           ,   91.87917801435998 ,               40
Random       ,              20.0,   4402, CSG-f1   ,       1495,      4399,                      4012,            99.33151770240158 ,                     1.0,          1,           882,                       4012,            99.33151770240158  , 0              ,  100.0              ,                6
Random       ,              20.0,   4402, CSG-f2   ,       1620,      4399,                      3963,            98.11834612527853 ,                     1.0,          1,           882,                       3963,            98.11834612527853  , 0              ,  100.0              ,                5
Random       ,              20.0,   4402, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          1,           882,                       3711,            91.87917801435998  , -328           ,   91.87917801435998 ,               40
Degree       ,               1.0,    892, CSG-f1   ,        117,       888,                       158,             3.911859371131468,                     1.0,          1,           882,                        158,             3.911859371131468 , 0              ,  100.0              ,                6
Degree       ,               1.0,    892, CSG-f2   ,        209,       888,                       211,             5.224065362713543,                     1.0,          1,           882,                        212,             5.248823966328299 , 1              ,  100.4739336492891  ,                1
Degree       ,               1.0,    892, CGG      ,        442,       891,                       555,            13.74102500618965 ,                     1.0,          1,           882,                        555,            13.74102500618965  , 0              ,  100.0              ,               15
Degree       ,               2.0,   1784, CSG-f1   ,        177,      1766,                       368,             9.111166130230256,                     1.0,          1,           882,                        368,             9.111166130230256 , 0              ,  100.0              ,                6
Degree       ,               2.0,   1784, CSG-f2   ,        261,      1781,                       264,             6.536271354295618,                     1.0,          1,           882,                        265,             6.561029957910374 , 1              ,  100.37878787878789 ,                1
Degree       ,               2.0,   1784, CGG      ,        668,      1783,                       899,            22.25798464966576 ,                     1.0,          1,           882,                        899,            22.25798464966576  , 0              ,  100.0              ,               15
Degree       ,               5.0,   4462, CSG-f1   ,        287,      4462,                       480,            11.884129735082942,                     1.0,          1,           882,                        480,            11.884129735082942 , 0              ,  100.0              ,                6
Degree       ,               5.0,   4462, CSG-f2   ,        408,      4426,                       412,            10.200544689279525,                     1.0,          1,           882,                        413,            10.22530329289428  , 1              ,  100.24271844660196 ,                2
Degree       ,               5.0,   4462, CGG      ,       1100,      4456,                      1411,            34.9343897004209  ,                     1.0,          1,           882,                       1411,            34.9343897004209   , 0              ,  100.0              ,               15
Degree       ,              10.0,   8924, CSG-f1   ,        448,      8910,                       650,            16.093092349591483,                     1.0,          1,           882,                        651,            16.11785095320624  , 1              ,  100.15384615384615 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,        613,      8915,                       617,            15.276058430304532,                     1.0,          1,           882,                        617,            15.276058430304532 , 0              ,  100.0              ,                2
Degree       ,              10.0,   8924, CGG      ,       1539,      8919,                      2405,            59.544441693488494,                     1.0,          1,           882,                       2212,            54.76603119584056  , -193           ,   91.97505197505198 ,               18
Degree       ,              20.0,  17848, CSG-f1   ,        849,     17836,                      1853,            45.877692498143105,                     1.0,          1,           882,                       1853,            45.877692498143105 , 0              ,  100.0              ,                7
Degree       ,              20.0,  17848, CSG-f2   ,       1075,     17802,                      1081,            26.764050507551374,                     1.0,          1,           882,                       1081,            26.764050507551374 , 0              ,  100.0              ,                2
Degree       ,              20.0,  17848, CGG      ,       1982,     17817,                      3467,            85.83807873235949 ,                     1.0,          1,           882,                       3176,            78.63332508046547  , -291           ,   91.60657629074127 ,               38
Random       ,               1.0,    220, CSG-f1   ,        146,       220,                       293,             7.254270859123546,                     1.0,          2,           882,                        296,             7.328546669967814 , 3              ,  101.02389078498292 ,                3
Random       ,               1.0,    220, CSG-f2   ,        140,       219,                       224,             5.545927209705372,                     1.0,          2,           882,                        227,             5.620203020549641 , 3              ,  101.33928571428572 ,                3
Random       ,               1.0,    220, CGG      ,        120,       220,                       588,            14.558058925476603,                     1.0,          2,           882,                        587,            14.533300321861848 , -1             ,   99.82993197278913 ,               14
Random       ,               2.0,    440, CSG-f1   ,        252,       440,                       409,            10.126268878435257,                     1.0,          2,           882,                        413,            10.22530329289428  , 4              ,  100.97799511002445 ,                3
Random       ,               2.0,    440, CSG-f2   ,        244,       438,                       366,             9.061648923000742,                     1.0,          2,           882,                        369,             9.13592473384501  , 3              ,  100.81967213114753 ,                3
Random       ,               2.0,    440, CGG      ,        285,       440,                       882,            21.837088388214905,                     1.0,          2,           882,                        878,            21.738053973755882 , -4             ,   99.54648526077098 ,               14
Random       ,               5.0,   1100, CSG-f1   ,        487,      1099,                      1354,            33.52314929437979 ,                     1.0,          2,           882,                       1357,            33.59742510522407  , 3              ,  100.22156573116692 ,               13
Random       ,               5.0,   1100, CSG-f2   ,        533,      1099,                      1553,            38.450111413716265,                     1.0,          2,           882,                       1560,            38.62342163901956  , 7              ,  100.45074050225371 ,               27
Random       ,               5.0,   1100, CGG      ,        619,      1099,                      2519,            62.366922505570685,                     1.0,          2,           882,                       2380,            58.925476603119584 , -139           ,   94.48193727669711 ,               58
